,SK_ID_CURR,TARGET
1,100006,0.0
3,100014,0.0
4,100015,0.0
5,100017,0.0
6,100018,0.0
7,100019,0.0
8,100030,0.0
9,100032,0.0
11,100035,0.0
12,100040,0.0
14,100045,0.0
15,100048,0.0
16,100049,1.0
17,100051,0.0
20,100059,0.0
21,100060,0.0
22,100062,0.0
24,100069,0.0
25,100071,0.0
26,100078,0.0
27,100086,0.0
29,100098,0.0
30,100100,0.0
31,100103,0.0
32,100104,0.0
33,100105,0.0
35,100113,0.0
36,100114,0.0
37,100119,0.0
38,100120,0.0
39,100121,0.0
40,100122,0.0
42,100133,0.0
44,100138,0.0
45,100139,0.0
46,100143,0.0
47,100148,0.0
49,100156,0.0
51,100159,0.0
53,100167,0.0
55,100176,0.0
57,100182,0.0
60,100192,1.0
61,100194,0.0
62,100197,0.0
63,100198,0.0
64,100200,0.0
66,100206,0.0
68,100209,1.0
69,100210,0.0
70,100211,0.0
71,100214,1.0
74,100218,0.0
75,100226,0.0
76,100228,0.0
78,100234,0.0
79,100238,0.0
80,100240,0.0
82,100246,1.0
83,100247,0.0
84,100254,0.0
85,100258,0.0
86,100260,0.0
88,100262,0.0
89,100267,0.0
91,100274,0.0
92,100276,0.0
93,100282,1.0
94,100285,0.0
95,100286,1.0
96,100288,0.0
98,100293,0.0
99,100296,0.0
100,100301,1.0
101,100305,0.0
102,100308,0.0
103,100314,0.0
104,100320,0.0
105,100321,0.0
106,100326,1.0
107,100335,0.0
108,100337,0.0
109,100339,0.0
110,100343,0.0
111,100347,0.0
113,100353,0.0
114,100357,0.0
115,100359,0.0
116,100361,0.0
119,100374,0.0
120,100376,0.0
122,100383,0.0
124,100388,0.0
125,100390,0.0
126,100392,0.0
127,100394,0.0
128,100395,0.0
129,100396,1.0
130,100397,0.0
131,100405,0.0
132,100407,0.0
134,100413,0.0
135,100417,0.0
137,100425,0.0
139,100436,0.0
140,100443,0.0
141,100449,0.0
142,100457,0.0
143,100461,0.0
145,100464,0.0
146,100465,0.0
147,100469,0.0
148,100472,1.0
150,100475,0.0
151,100480,0.0
152,100481,0.0
154,100485,1.0
156,100495,0.0
157,100497,0.0
158,100501,0.0
159,100506,0.0
160,100519,0.0
162,100522,0.0
164,100525,0.0
165,100526,0.0
166,100530,0.0
167,100532,0.0
168,100534,0.0
169,100537,0.0
170,100538,0.0
171,100539,0.0
172,100544,0.0
174,100554,0.0
175,100555,0.0
177,100563,0.0
178,100570,0.0
179,100571,0.0
181,100581,0.0
182,100586,0.0
183,100590,0.0
184,100595,0.0
186,100601,0.0
188,100609,0.0
189,100610,0.0
190,100611,0.0
191,100612,0.0
192,100616,1.0
193,100619,0.0
194,100621,0.0
195,100628,0.0
196,100633,0.0
197,100635,0.0
198,100640,0.0
199,100642,0.0
200,100646,1.0
201,100649,1.0
204,100658,0.0
205,100661,0.0
206,100671,0.0
207,100680,0.0
208,100681,0.0
210,100691,0.0
211,100692,0.0
212,100693,0.0
213,100695,0.0
215,100697,0.0
216,100700,0.0
217,100708,0.0
219,100710,0.0
220,100712,0.0
221,100723,0.0
222,100724,0.0
224,100732,0.0
226,100741,0.0
227,100743,0.0
228,100748,0.0
229,100749,0.0
230,100750,0.0
231,100759,0.0
232,100773,0.0
234,100793,0.0
235,100795,0.0
236,100796,1.0
237,100798,0.0
238,100800,0.0
240,100803,0.0
243,100807,0.0
244,100810,0.0
246,100815,0.0
247,100816,1.0
248,100819,0.0
249,100827,0.0
250,100828,0.0
252,100837,0.0
254,100843,0.0
255,100845,0.0
256,100846,0.0
257,100848,0.0
258,100850,0.0
259,100851,0.0
260,100852,0.0
261,100857,0.0
263,100877,0.0
264,100880,0.0
266,100890,0.0
267,100891,0.0
268,100892,0.0
270,100896,1.0
272,100900,0.0
273,100915,0.0
274,100922,0.0
275,100932,0.0
276,100941,0.0
278,100945,1.0
279,100947,0.0
280,100949,0.0
281,100950,0.0
282,100959,0.0
283,100964,0.0
284,100972,0.0
285,100977,0.0
286,100978,0.0
287,100980,0.0
288,100981,0.0
289,100991,0.0
290,100992,1.0
291,100994,0.0
292,101000,0.0
293,101001,0.0
294,101007,0.0
295,101012,0.0
296,101015,0.0
299,101035,0.0
301,101039,0.0
302,101043,0.0
303,101048,0.0
304,101052,0.0
305,101058,0.0
308,101066,0.0
310,101074,0.0
311,101078,0.0
312,101081,0.0
313,101086,0.0
314,101091,0.0
315,101110,0.0
316,101117,0.0
317,101127,1.0
318,101131,0.0
319,101133,0.0
320,101142,1.0
321,101144,0.0
322,101147,1.0
324,101152,0.0
325,101154,0.0
326,101155,0.0
327,101161,0.0
329,101165,1.0
330,101166,0.0
331,101171,0.0
332,101173,0.0
333,101175,0.0
334,101185,0.0
336,101201,1.0
338,101207,0.0
340,101215,0.0
341,101218,0.0
342,101219,0.0
343,101220,0.0
344,101221,0.0
347,101228,0.0
348,101233,0.0
349,101234,0.0
350,101240,0.0
352,101257,0.0
355,101273,0.0
356,101275,0.0
357,101283,0.0
358,101284,0.0
360,101306,0.0
361,101310,0.0
363,101325,0.0
364,101333,0.0
365,101334,0.0
366,101339,0.0
368,101342,0.0
369,101344,0.0
371,101358,0.0
372,101359,0.0
373,101361,0.0
374,101370,0.0
375,101375,0.0
376,101376,0.0
377,101384,0.0
378,101389,0.0
379,101391,0.0
380,101402,0.0
381,101403,0.0
382,101411,0.0
385,101415,0.0
386,101417,0.0
389,101430,0.0
391,101433,0.0
393,101441,0.0
395,101452,0.0
396,101453,0.0
397,101456,0.0
400,101471,0.0
401,101473,0.0
402,101474,1.0
403,101476,0.0
404,101479,0.0
407,101486,0.0
408,101491,0.0
410,101500,0.0
411,101501,0.0
412,101502,0.0
415,101519,0.0
416,101520,0.0
417,101521,0.0
418,101524,0.0
419,101525,0.0
421,101534,0.0
422,101541,1.0
424,101545,0.0
425,101546,0.0
426,101549,0.0
427,101554,0.0
428,101557,0.0
429,101558,0.0
430,101559,1.0
431,101560,0.0
432,101561,0.0
433,101562,0.0
434,101564,1.0
435,101566,0.0
436,101569,0.0
437,101574,1.0
439,101590,0.0
440,101591,0.0
441,101593,0.0
442,101594,0.0
443,101595,0.0
444,101600,0.0
446,101603,0.0
448,101605,0.0
449,101606,0.0
450,101609,0.0
451,101613,0.0
452,101626,0.0
453,101627,0.0
454,101637,0.0
455,101642,0.0
456,101647,0.0
458,101660,0.0
459,101661,0.0
460,101664,0.0
462,101690,0.0
463,101693,0.0
464,101696,0.0
465,101705,1.0
466,101706,0.0
467,101707,0.0
468,101708,0.0
470,101713,0.0
471,101718,0.0
472,101722,0.0
473,101730,1.0
474,101731,0.0
475,101735,0.0
476,101737,0.0
477,101738,0.0
478,101740,0.0
481,101746,0.0
482,101747,0.0
483,101752,0.0
484,101755,0.0
485,101761,0.0
486,101765,0.0
487,101766,0.0
488,101787,0.0
489,101790,0.0
490,101793,0.0
491,101794,0.0
492,101796,1.0
493,101797,0.0
495,101802,0.0
497,101806,0.0
498,101808,0.0
500,101826,0.0
503,101839,0.0
504,101841,0.0
505,101843,0.0
506,101844,0.0
508,101847,0.0
509,101848,0.0
510,101858,0.0
511,101859,1.0
513,101866,0.0
514,101875,0.0
516,101882,0.0
517,101888,0.0
519,101893,0.0
521,101904,0.0
524,101910,0.0
525,101919,0.0
526,101926,0.0
529,101929,1.0
531,101937,0.0
533,101942,0.0
534,101950,1.0
535,101951,0.0
537,101955,0.0
538,101956,0.0
539,101957,0.0
540,101958,0.0
541,101960,0.0
542,101980,1.0
543,101982,0.0
544,101983,1.0
546,101987,0.0
547,101994,0.0
549,102000,0.0
550,102001,0.0
551,102011,0.0
552,102015,0.0
553,102020,1.0
558,102032,0.0
559,102036,0.0
560,102040,0.0
561,102043,0.0
562,102046,0.0
563,102060,0.0
564,102061,0.0
565,102063,0.0
567,102081,0.0
568,102083,1.0
569,102085,0.0
570,102086,0.0
571,102087,0.0
572,102088,0.0
575,102094,0.0
578,102103,0.0
579,102124,0.0
582,102129,0.0
583,102130,0.0
584,102135,1.0
585,102140,0.0
586,102141,0.0
587,102142,0.0
589,102150,0.0
590,102152,0.0
592,102163,0.0
594,102169,0.0
595,102170,0.0
598,102179,0.0
599,102181,0.0
600,102182,0.0
601,102192,0.0
603,102196,0.0
604,102199,0.0
605,102203,0.0
606,102207,0.0
607,102208,1.0
608,102211,0.0
610,102224,0.0
611,102227,0.0
612,102233,0.0
615,102239,0.0
617,102246,0.0
618,102250,0.0
619,102251,0.0
621,102261,0.0
622,102268,0.0
623,102270,0.0
625,102277,0.0
626,102279,1.0
627,102284,0.0
628,102287,0.0
630,102291,0.0
631,102292,0.0
632,102299,0.0
633,102301,0.0
634,102304,0.0
635,102312,0.0
636,102313,0.0
637,102321,0.0
638,102326,0.0
641,102332,0.0
642,102333,0.0
643,102336,0.0
644,102348,0.0
645,102349,0.0
647,102355,0.0
648,102358,0.0
649,102359,0.0
650,102360,0.0
651,102361,0.0
652,102362,0.0
653,102363,0.0
655,102372,0.0
656,102381,0.0
657,102383,0.0
658,102384,0.0
659,102385,0.0
660,102386,0.0
661,102392,1.0
662,102397,0.0
663,102401,0.0
666,102412,0.0
667,102417,0.0
668,102418,0.0
671,102431,0.0
672,102433,0.0
674,102466,0.0
675,102472,0.0
676,102477,0.0
677,102485,0.0
679,102493,0.0
680,102496,0.0
681,102504,0.0
683,102513,0.0
684,102515,0.0
685,102516,0.0
686,102518,0.0
687,102524,1.0
689,102526,0.0
690,102530,0.0
691,102537,0.0
692,102540,0.0
693,102541,0.0
694,102546,0.0
696,102548,0.0
697,102550,0.0
698,102552,0.0
699,102553,0.0
700,102554,0.0
701,102565,0.0
703,102570,0.0
704,102572,0.0
705,102573,0.0
706,102574,1.0
707,102577,0.0
708,102578,1.0
711,102585,0.0
713,102591,0.0
714,102593,0.0
717,102602,0.0
721,102610,0.0
723,102619,0.0
726,102624,1.0
727,102625,0.0
728,102626,0.0
729,102631,0.0
730,102633,0.0
731,102636,0.0
732,102639,0.0
733,102643,0.0
735,102646,0.0
736,102651,0.0
737,102656,1.0
739,102667,0.0
740,102668,0.0
742,102677,0.0
743,102678,0.0
744,102679,1.0
746,102681,1.0
747,102686,0.0
748,102691,0.0
749,102705,0.0
750,102707,0.0
752,102718,0.0
753,102723,0.0
754,102730,0.0
755,102732,0.0
756,102734,0.0
758,102736,0.0
759,102737,0.0
761,102741,0.0
762,102747,0.0
764,102768,1.0
765,102769,0.0
766,102774,0.0
767,102777,0.0
768,102778,0.0
769,102779,0.0
770,102781,0.0
771,102785,0.0
773,102787,0.0
774,102788,0.0
775,102793,0.0
777,102803,0.0
778,102808,0.0
779,102812,0.0
780,102819,0.0
781,102821,0.0
782,102823,0.0
783,102824,0.0
784,102831,0.0
785,102834,0.0
788,102841,0.0
789,102842,0.0
791,102849,0.0
792,102850,0.0
794,102858,0.0
796,102873,0.0
800,102885,0.0
802,102890,0.0
803,102893,0.0
805,102906,0.0
806,102913,0.0
807,102928,0.0
808,102934,0.0
809,102936,0.0
810,102938,0.0
811,102941,1.0
815,102953,0.0
816,102956,0.0
817,102961,0.0
818,102962,0.0
819,102970,0.0
820,102972,0.0
821,102984,0.0
822,102986,0.0
824,102998,0.0
826,103007,0.0
827,103009,0.0
828,103015,0.0
831,103024,0.0
832,103026,0.0
833,103033,0.0
834,103043,0.0
835,103047,0.0
836,103048,0.0
839,103055,0.0
841,103058,0.0
842,103066,0.0
843,103080,0.0
845,103089,0.0
846,103091,0.0
847,103094,0.0
849,103099,0.0
851,103110,0.0
852,103115,0.0
853,103122,0.0
854,103126,0.0
856,103128,0.0
859,103139,0.0
860,103149,0.0
861,103153,0.0
862,103161,0.0
863,103165,0.0
864,103167,0.0
866,103174,0.0
867,103178,0.0
868,103179,0.0
869,103189,0.0
870,103191,0.0
871,103200,0.0
872,103210,0.0
873,103213,0.0
874,103223,0.0
876,103233,0.0
878,103236,0.0
879,103237,0.0
881,103245,0.0
882,103261,0.0
885,103266,0.0
886,103270,1.0
887,103275,0.0
888,103276,0.0
890,103278,0.0
892,103285,0.0
894,103293,0.0
895,103294,0.0
897,103299,0.0
900,103310,1.0
901,103312,0.0
902,103314,0.0
903,103321,0.0
904,103326,0.0
905,103327,0.0
906,103328,0.0
907,103331,0.0
909,103333,0.0
910,103340,0.0
911,103343,0.0
912,103349,0.0
913,103354,0.0
914,103358,0.0
915,103360,0.0
916,103362,0.0
917,103364,0.0
918,103374,0.0
919,103375,0.0
920,103379,0.0
921,103380,1.0
922,103382,0.0
923,103386,0.0
925,103391,0.0
926,103399,0.0
927,103401,0.0
928,103403,0.0
929,103405,1.0
930,103411,0.0
931,103413,0.0
932,103417,0.0
934,103423,0.0
935,103425,0.0
937,103434,0.0
938,103438,1.0
939,103439,1.0
940,103445,0.0
941,103464,0.0
942,103467,0.0
943,103469,0.0
944,103477,1.0
946,103488,0.0
947,103489,0.0
948,103491,0.0
949,103495,0.0
951,103505,0.0
952,103506,0.0
953,103508,0.0
954,103510,0.0
955,103518,1.0
956,103519,0.0
957,103521,0.0
959,103527,0.0
960,103528,0.0
963,103543,1.0
964,103547,0.0
965,103552,0.0
966,103554,0.0
967,103555,1.0
969,103559,0.0
970,103561,0.0
971,103565,0.0
973,103587,0.0
974,103590,0.0
975,103602,0.0
976,103611,0.0
977,103619,0.0
978,103623,0.0
979,103630,0.0
981,103637,0.0
988,103661,0.0
989,103667,1.0
990,103670,0.0
991,103671,0.0
993,103677,0.0
994,103688,0.0
996,103693,0.0
997,103698,1.0
999,103707,0.0
1000,103709,0.0
1003,103729,0.0
1004,103730,0.0
1006,103739,1.0
1007,103746,0.0
1009,103754,0.0
1010,103757,0.0
1011,103761,0.0
1012,103765,0.0
1013,103767,0.0
1015,103776,0.0
1016,103778,0.0
1017,103779,0.0
1019,103786,0.0
1020,103793,1.0
1021,103795,0.0
1022,103798,0.0
1023,103801,0.0
1025,103821,1.0
1026,103822,0.0
1027,103827,0.0
1028,103833,0.0
1030,103839,0.0
1031,103844,0.0
1032,103846,0.0
1035,103859,0.0
1036,103860,0.0
1037,103863,0.0
1038,103864,0.0
1039,103867,0.0
1040,103868,0.0
1041,103869,0.0
1042,103872,0.0
1043,103874,0.0
1044,103886,0.0
1045,103887,0.0
1047,103889,1.0
1048,103890,0.0
1050,103894,0.0
1051,103896,0.0
1052,103897,0.0
1053,103898,0.0
1054,103902,0.0
1055,103906,0.0
1056,103910,0.0
1057,103912,0.0
1058,103917,1.0
1059,103919,0.0
1060,103920,0.0
1061,103926,0.0
1062,103928,0.0
1063,103931,0.0
1064,103942,0.0
1066,103951,0.0
1071,103969,0.0
1073,103991,0.0
1074,103992,0.0
1075,103994,1.0
1076,103995,0.0
1077,104000,1.0
1078,104001,0.0
1079,104003,0.0
1081,104008,0.0
1082,104011,0.0
1084,104018,0.0
1085,104023,0.0
1086,104024,0.0
1090,104060,0.0
1091,104070,1.0
1092,104074,0.0
1093,104075,0.0
1094,104081,0.0
1096,104090,1.0
1098,104094,0.0
1099,104099,0.0
1101,104117,0.0
1103,104129,0.0
1104,104130,0.0
1105,104133,0.0
1108,104138,0.0
1109,104141,0.0
1110,104143,0.0
1111,104144,0.0
1112,104146,0.0
1113,104151,0.0
1114,104152,0.0
1115,104158,0.0
1116,104169,0.0
1117,104174,0.0
1118,104177,0.0
1119,104181,0.0
1120,104182,0.0
1125,104194,0.0
1126,104199,0.0
1128,104201,0.0
1129,104212,0.0
1130,104213,0.0
1131,104214,0.0
1134,104227,0.0
1135,104231,0.0
1136,104232,0.0
1137,104235,0.0
1138,104239,0.0
1142,104243,0.0
1143,104249,0.0
1144,104251,0.0
1145,104259,0.0
1146,104264,0.0
1152,104291,1.0
1153,104293,0.0
1154,104307,0.0
1157,104314,0.0
1158,104322,0.0
1159,104323,0.0
1160,104331,0.0
1161,104336,0.0
1162,104337,0.0
1163,104340,0.0
1164,104342,0.0
1165,104347,0.0
1166,104349,0.0
1167,104361,0.0
1168,104363,0.0
1169,104371,0.0
1170,104378,0.0
1171,104382,0.0
1172,104385,0.0
1173,104386,1.0
1174,104387,0.0
1175,104388,0.0
1176,104389,0.0
1178,104393,0.0
1179,104399,0.0
1180,104404,0.0
1182,104416,0.0
1183,104421,0.0
1184,104428,0.0
1187,104433,0.0
1189,104442,1.0
1190,104444,0.0
1191,104448,0.0
1193,104454,0.0
1194,104455,0.0
1195,104462,0.0
1196,104463,0.0
1197,104468,0.0
1198,104470,0.0
1199,104471,0.0
1200,104474,0.0
1202,104488,1.0
1204,104492,0.0
1205,104493,0.0
1206,104504,0.0
1209,104525,0.0
1210,104536,0.0
1213,104545,0.0
1214,104548,0.0
1215,104550,0.0
1216,104551,0.0
1217,104556,0.0
1219,104558,1.0
1220,104561,0.0
1221,104566,0.0
1222,104567,0.0
1223,104575,0.0
1224,104581,0.0
1226,104592,0.0
1227,104597,0.0
1230,104605,0.0
1231,104606,0.0
1233,104609,0.0
1234,104614,0.0
1235,104615,0.0
1236,104628,0.0
1238,104638,0.0
1240,104642,0.0
1241,104648,0.0
1243,104653,0.0
1244,104655,0.0
1245,104660,0.0
1246,104661,0.0
1247,104665,0.0
1249,104674,0.0
1252,104695,0.0
1253,104705,0.0
1255,104723,0.0
1256,104727,0.0
1257,104729,0.0
1258,104732,0.0
1260,104738,0.0
1262,104756,0.0
1263,104758,0.0
1264,104763,0.0
1266,104765,0.0
1267,104782,0.0
1268,104786,0.0
1269,104787,0.0
1270,104792,0.0
1272,104802,0.0
1273,104804,0.0
1274,104805,0.0
1275,104808,0.0
1276,104813,0.0
1277,104818,0.0
1279,104823,0.0
1280,104824,1.0
1284,104841,0.0
1285,104843,0.0
1286,104854,0.0
1287,104855,0.0
1288,104859,0.0
1290,104867,0.0
1291,104869,0.0
1292,104875,0.0
1293,104882,0.0
1294,104883,0.0
1295,104886,0.0
1296,104887,0.0
1297,104889,0.0
1298,104890,0.0
1299,104891,0.0
1300,104892,0.0
1301,104895,0.0
1302,104901,0.0
1303,104903,0.0
1304,104905,0.0
1305,104909,0.0
1307,104925,0.0
1308,104929,0.0
1310,104935,0.0
1311,104940,0.0
1312,104941,0.0
1313,104944,1.0
1314,104946,0.0
1315,104952,0.0
1316,104955,0.0
1317,104960,0.0
1319,104968,0.0
1320,104970,1.0
1321,104982,0.0
1322,104986,0.0
1323,104987,0.0
1325,104995,0.0
1327,104997,0.0
1328,104999,0.0
1329,105002,0.0
1330,105003,0.0
1331,105007,0.0
1332,105014,0.0
1333,105016,0.0
1336,105036,0.0
1337,105040,0.0
1339,105048,0.0
1340,105050,0.0
1341,105058,0.0
1344,105063,0.0
1345,105066,0.0
1346,105069,0.0
1348,105076,0.0
1349,105078,0.0
1350,105080,0.0
1352,105087,0.0
1353,105102,0.0
1354,105104,0.0
1355,105113,1.0
1356,105118,0.0
1358,105127,0.0
1359,105129,0.0
1362,105136,0.0
1363,105138,0.0
1364,105148,0.0
1365,105149,0.0
1366,105150,0.0
1367,105158,0.0
1368,105159,0.0
1369,105161,0.0
1370,105162,0.0
1371,105165,0.0
1373,105175,0.0
1374,105181,1.0
1377,105189,0.0
1378,105198,0.0
1380,105212,0.0
1382,105218,0.0
1383,105225,0.0
1385,105236,0.0
1386,105238,0.0
